Experiment	Run	SortedStrain	ProjectID	TaxID	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id		Sample	BioSample	SampleType		ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
ERX2826866	DRR084263	HG001	574312	1280	2019-01-18 16:30:20	2019-01-18 16:31:52	30638434	1102983624	0	36	799		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084263/DRR084263.sralite.1	5_DcvfE-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004747	PRJDB5479			DRS086257	SAMD00071761	simple		Staphylococcus aureus	SAMD00071761							no					UT_GSPS	DRA005493		public	81163E8436CB2F2F282F0F589D5BAA12	7116DBC2E59DB778C591F0D3E11DE036		
ERX2826867	DRR084264	HG001	574312	1280	2019-01-18 16:30:20	2019-01-18 16:31:50	22656098	815619528	0	36	589		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084264/DRR084264.sralite.1	6_DcvfE-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004747	PRJDB5479			DRS086258	SAMD00071762	simple		Staphylococcus aureus	SAMD00071762							no					UT_GSPS	DRA005493		public	F5D2A983F7C4335E1FF5F3A9290AFFD4	0796640AD09B133EB0EE4517169F2AD0		
ERX2826868	DRR084265	HG001	574312	1280	2019-01-18 16:30:20	2019-01-18 16:31:30	32478843	1169238348	0	36	846		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084265/DRR084265.sralite.1	7_DcvfE_pE-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004747	PRJDB5479			DRS086259	SAMD00071763	simple		Staphylococcus aureus	SAMD00071763							no					UT_GSPS	DRA005493		public	5B97B38F866CFB55240BB0FD738EF24D	6EE9630C4566CC52D91A6D33CE92ACE7		
ERX2826869	DRR084266	HG001	574312	1280	2019-01-18 16:30:20	2019-01-18 16:31:25	11782840	424182240	0	36	307		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084266/DRR084266.sralite.1	8_DcvfE_pE-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004747	PRJDB5479			DRS086260	SAMD00071764	simple		Staphylococcus aureus	SAMD00071764							no					UT_GSPS	DRA005493		public	EBF77E3496F9C408DDB8BA5CFA6C6793	6443165BDC9B6F3DF53C4B699A66DA38		
ERX2826870	DRR084267	HG001	574312	1280	2019-01-18 16:30:20	2019-01-18 16:31:53	23993238	863756568	0	36	625		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084267/DRR084267.sralite.1	9_DcvfE_pE-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004747	PRJDB5479			DRS086261	SAMD00071765	simple		Staphylococcus aureus	SAMD00071765							no					UT_GSPS	DRA005493		public	1C6B158582843A2579ECFD610F4050A8	6D5355079C4861FABECBE752A130A0C7		
ERX4581838	DRR084268	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:38:17	20874499	751481964	0	36	545		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084268/DRR084268.sralite.1	10_MW2-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086068	SAMD00073682	simple		Staphylococcus aureus	SAMD00073682							no					UT_GSPS	DRA005494		public	5ABAE0C6C6ECD01DC336E6EF9CC7EE43	4A8424E0D7A37A6E02DF8F8DB8E7F884		
ERX4581839	DRR084269	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:35:32	16338302	588178872	0	36	389		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084269/DRR084269.sralite.1	11_MW2_F-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086069	SAMD00073683	simple		Staphylococcus aureus	SAMD00073683							no					UT_GSPS	DRA005494		public	84DADBE86C764EECD0FFAC7B56DC5008	F91F934DFE1A579EA0F4C125846E97F2		
ERX4581840	DRR084270	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:35:22	16943706	609973416	0	36	405		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084270/DRR084270.sralite.1	12_USA300-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086070	SAMD00073684	simple		Staphylococcus aureus	SAMD00073684							no					UT_GSPS	DRA005494		public	9F4788349D7A6D44F68AE90336449F33	7B34BCC9F2BB503647BA78516CD2B872		
ERX4581841	DRR084271	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:32:41	49374756	1777491216	0	36	1434		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084271/DRR084271.sralite.1	13_USA300_F-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086071	SAMD00073685	simple		Staphylococcus aureus	SAMD00073685							no					UT_GSPS	DRA005494		public	5DF78F0AEE065275ED835D22EC7B6AB0	AA3190EA3E5A1F4AC1E38F86B5240DB6		
ERX4581842	DRR084272	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:36:26	17923137	645232932	0	36	523		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084272/DRR084272.sralite.1	14_MW2-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086072	SAMD00073686	simple		Staphylococcus aureus	SAMD00073686							no					UT_GSPS	DRA005494		public	2A8EF31F7AD44D7E91D28AF107C5C004	3C1E0B6C8FB3599A1AC249DD45477440		
ERX4581843	DRR084273	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:38:21	22855636	822802896	0	36	663		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084273/DRR084273.sralite.1	15_MW2_F-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086073	SAMD00073687	simple		Staphylococcus aureus	SAMD00073687							no					UT_GSPS	DRA005494		public	6FAE4A71E4B162F18481A0196735AB58	A7705D907CD81FB1B981564677697BD7		
ERX4581844	DRR084274	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:36:59	38377731	1381598316	0	36	1115		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084274/DRR084274.sralite.1	16_USA300-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086074	SAMD00073688	simple		Staphylococcus aureus	SAMD00073688							no					UT_GSPS	DRA005494		public	090C5E8A9D9F170EB0CB798ACB538FC8	FA8C9DF9BE6A735E33205A99A4EA81EE		
ERX4581845	DRR084275	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:35:43	16691066	600878376	0	36	483		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084275/DRR084275.sralite.1	17_USA300_F-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086075	SAMD00073689	simple		Staphylococcus aureus	SAMD00073689							no					UT_GSPS	DRA005494		public	B089D4AFA855A7378F0FF3C247A1CEC1	1398EAFE25E0BD16185A0205EAA4FACB		
ERX4581846	DRR084276	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:36:13	20193736	726974496	0	36	585		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084276/DRR084276.sralite.1	18_MW2-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086076	SAMD00073690	simple		Staphylococcus aureus	SAMD00073690							no					UT_GSPS	DRA005494		public	9DEE5927609E25828F1AC7A522C139AC	0F2AD4AFB91808337668191808D2730D		
ERX4581847	DRR084277	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:33:47	21012879	756463644	0	36	504		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084277/DRR084277.sralite.1	19_MW2_F-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086077	SAMD00073691	simple		Staphylococcus aureus	SAMD00073691							no					UT_GSPS	DRA005494		public	4C26F6F8E6CC8B730F7A9C5CEA80DEF6	70107DE20BE11FA6D1E3927A7073199D		
ERX4581848	DRR084278	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:36:46	16163409	581882724	0	36	387		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084278/DRR084278.sralite.1	20_USA300-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086078	SAMD00073692	simple		Staphylococcus aureus	SAMD00073692							no					UT_GSPS	DRA005494		public	19311E515F8855DB404ED527DD549FA5	76B41ABB0581095A5AF5AB463B4F2527		
ERX4581849	DRR084279	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:37:54	20067164	722417904	0	36	512		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084279/DRR084279.sralite.1	21_USA300_F-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086079	SAMD00073693	simple		Staphylococcus aureus	SAMD00073693							no					UT_GSPS	DRA005494		public	5DE88B41BF41B2F24FBBC258DD46CF29	27C89ED32612B4BA7C0BA500AB6AB8C1		
ERX4581850	DRR084280	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:37:31	18674602	672285672	0	36	474		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084280/DRR084280.sralite.1	22_plnt-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086080	SAMD00073694	simple		Staphylococcus aureus	SAMD00073694							no					UT_GSPS	DRA005494		public	B25B2FE3DF6B88B72A86DF92701B2082	3F5BEEBAF855B2B5B64FF532EF55B7FE		
ERX4581851	DRR084281	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:34:45	20630770	742707720	0	36	527		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084281/DRR084281.sralite.1	23_plntF-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086081	SAMD00073695	simple		Staphylococcus aureus	SAMD00073695							no					UT_GSPS	DRA005494		public	B5FA50F07FF7506CC4237F48BA478620	6B844935591628161EC3C2A8A3D8F581		
ERX4581852	DRR084282	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:35:51	17059303	614134908	0	36	432		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084282/DRR084282.sralite.1	24_pND50-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086082	SAMD00073696	simple		Staphylococcus aureus	SAMD00073696							no					UT_GSPS	DRA005494		public	0AC45622D415A8DF88EEF859F51B0F91	A3E7EAEDBD20450910C955393E47FA99		
ERX4581853	DRR084283	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:36:49	21911248	788804928	0	36	557		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084283/DRR084283.sralite.1	25_pF-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086083	SAMD00073697	simple		Staphylococcus aureus	SAMD00073697							no					UT_GSPS	DRA005494		public	8FC76B977AA6A30E0CE586AE3855BBF0	CB3AD61A15E4A5CE93302026E1EE17B0		
ERX4581854	DRR084284	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:32:50	27859357	1002936852	0	36	711		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084284/DRR084284.sralite.1	26_pC1-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086084	SAMD00073698	simple		Staphylococcus aureus	SAMD00073698							no					UT_GSPS	DRA005494		public	157397775637525FDD73A87D7B318727	19ED05B927AC0E694BF46A6B41755FD1		
ERX4581855	DRR084285	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:36:38	22991461	827692596	0	36	584		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084285/DRR084285.sralite.1	27_pM1-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086085	SAMD00073699	simple		Staphylococcus aureus	SAMD00073699							no					UT_GSPS	DRA005494		public	314F272A71F6CEA69B16EC3F9034B4A3	D09D9FED5A61757B1BDA96A88DAC5F9B		
ERX4581856	DRR084286	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:37:57	39708891	1429520076	0	36	1007		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084286/DRR084286.sralite.1	28_plnt-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086086	SAMD00073700	simple		Staphylococcus aureus	SAMD00073700							no					UT_GSPS	DRA005494		public	259E24CA68D4456C7281EC019ACC6B06	9BC4E7FC4D78BBE6E9FD0E829F667741		
ERX4581857	DRR084287	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:36:38	21728079	782210844	0	36	551		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084287/DRR084287.sralite.1	29_plntF-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086087	SAMD00073701	simple		Staphylococcus aureus	SAMD00073701							no					UT_GSPS	DRA005494		public	31E8968B6638A0CD53424B2F5B874789	212AB9EC6678E931EE3650D5C041BA73		
ERX4581858	DRR084288	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:37:09	25414403	914918508	0	36	646		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084288/DRR084288.sralite.1	30_pND50-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086088	SAMD00073702	simple		Staphylococcus aureus	SAMD00073702							no					UT_GSPS	DRA005494		public	3907E6DCF545623412027C955D5A0B32	155C9F021E0B8EE5AA2E62879B5EE817		
ERX4581859	DRR084289	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:31:52	23084304	831034944	0	36	573		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084289/DRR084289.sralite.1	31_pF-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086089	SAMD00073703	simple		Staphylococcus aureus	SAMD00073703							no					UT_GSPS	DRA005494		public	48596ACA39C1C992DB0099F290A9AEA4	DA112201135299D0BA6086FC626CE907		
ERX4581860	DRR084290	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:36:14	22554320	811955520	0	36	557		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084290/DRR084290.sralite.1	32_pC1-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086090	SAMD00073704	simple		Staphylococcus aureus	SAMD00073704							no					UT_GSPS	DRA005494		public	D25CBA95DCBE68908EECA67F4114AA3D	8CAB79BBA5D68917EA1D97C2DA080892		
ERX4581861	DRR084291	HG003 (NCTC8325 der.)	703888	1280	2019-01-18 13:27:39	2019-01-18 13:35:50	31895954	1148254344	0	36	787		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084291/DRR084291.sralite.1	33_pM1-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086091	SAMD00073705	simple		Staphylococcus aureus	SAMD00073705							no					UT_GSPS	DRA005494		public	69F9068C4B3D0B0A957AC2CDFAE6A1B7	29F81331561D0243E0E9E98AA2C96DC3		
ERX4597138	DRR084292	SH1000 (NCTC8325 der.)	669785	1280	2019-01-18 13:27:39	2019-01-18 13:38:08	22173227	798236172	0	36	545		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084292/DRR084292.sralite.1	34_plnt-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086092	SAMD00073706	simple		Staphylococcus aureus	SAMD00073706							no					UT_GSPS	DRA005494		public	E1883406CD7B3A3C31FE75AA301E1D87	563D293630933E11E71B6B851EDD486C		
